14,Dylan,7,Houman,0,0,0,24,,Dylan,Dylan,Houman,Houman,0,0,0,24,1,1,
14,Dylan,2,Erik,0,0,0,157,,Dylan,Dylan,Erik,Erik,0,0,0,157,1,1,
14,Dylan,11,Dubov,0,0,0,97,,Dylan,Dylan,Dubov,Dubov,0,0,0,97,1,1,
14,Dylan,4,Rengel,0,0,0,17,,Dylan,Dylan,Rengel,Rengel,0,0,0,17,1,1,
14,Dylan,14,Dylan,0,0,0,324,,Dylan,Dylan,Dylan,Dylan,0,0,0,324,1,1,
14,Dylan,6,Chad,0,0,0,86,,Dylan,Dylan,Chad,Chad,0,0,0,86,1,1,
14,Dylan,3,Ian,0,0,0,128,,Dylan,Dylan,Ian,Ian,0,0,0,128,1,1,
14,Dylan,9,Cam,0,0,0,42,,Dylan,Dylan,Cam,Cam,0,0,0,42,1,1,
14,Dylan,10,Mark,0,0,0,76,,Dylan,Dylan,Mark,Mark,0,0,0,76,1,1,
14,Dylan,15,Brock,0,0,0,51,,Dylan,Dylan,Brock,Brock,0,0,0,51,1,1,
14,Dylan,13,Matt,0,0,0,92,,Dylan,Dylan,Matt,Matt,0,0,0,92,1,1,
14,Dylan,12,Clayton,0,0,0,42,,Dylan,Dylan,Clayton,Clayton,0,0,0,42,1,1,
14,Dylan,0,Jimmy,0,0,0,2,,Dylan,Dylan,Jimmy,Jimmy,0,0,0,2,1,1,
14,Dylan,8,Dehaan,0,0,0,6,,Dylan,Dylan,Dehaan,Dehaan,0,0,0,6,1,1,
8,Dehaan,10,Mark,0,0,0,15,,Dehaan,Dehaan,Mark,Mark,0,0,0,15,1,1,
8,Dehaan,3,Ian,0,0,0,4,,Dehaan,Dehaan,Ian,Ian,0,0,0,4,1,1,
8,Dehaan,11,Dubov,0,0,0,21,,Dehaan,Dehaan,Dubov,Dubov,0,0,0,21,1,1,
8,Dehaan,15,Brock,0,0,0,29,,Dehaan,Dehaan,Brock,Brock,0,0,0,29,1,1,
8,Dehaan,2,Erik,0,0,0,44,,Dehaan,Dehaan,Erik,Erik,0,0,0,44,1,1,
8,Dehaan,9,Cam,0,0,0,20,,Dehaan,Dehaan,Cam,Cam,0,0,0,20,1,1,
8,Dehaan,0,Jimmy,0,0,0,1,,Dehaan,Dehaan,Jimmy,Jimmy,0,0,0,1,1,1,
8,Dehaan,4,Rengel,0,0,0,10,,Dehaan,Dehaan,Rengel,Rengel,0,0,0,10,1,1,
8,Dehaan,8,Dehaan,0,0,0,61,,Dehaan,Dehaan,Dehaan,Dehaan,0,0,0,61,1,1,
8,Dehaan,6,Chad,0,0,0,40,,Dehaan,Dehaan,Chad,Chad,0,0,0,40,1,1,
8,Dehaan,14,Dylan,0,0,0,11,,Dehaan,Dehaan,Dylan,Dylan,0,0,0,11,1,1,
8,Dehaan,13,Matt,0,0,0,26,,Dehaan,Dehaan,Matt,Matt,0,0,0,26,1,1,
