8,Dehaan,8,Dehaan,0,0,0,8,,Dehaan,Dehaan,Dehaan,Dehaan,0,0,0,8,1,1,
8,Dehaan,2,Erik,0,0,0,9,,Dehaan,Dehaan,Erik,Erik,0,0,0,9,1,1,
8,Dehaan,10,Mark,0,0,0,3,,Dehaan,Dehaan,Mark,Mark,0,0,0,3,1,1,
8,Dehaan,6,Chad,0,0,0,8,,Dehaan,Dehaan,Chad,Chad,0,0,0,8,1,1,
8,Dehaan,15,Brock,0,0,0,2,,Dehaan,Dehaan,Brock,Brock,0,0,0,2,1,1,
8,Dehaan,13,Matt,0,0,0,8,,Dehaan,Dehaan,Matt,Matt,0,0,0,8,1,1,
8,Dehaan,4,Rengel,0,0,0,4,,Dehaan,Dehaan,Rengel,Rengel,0,0,0,4,1,1,
8,Dehaan,9,Cam,0,0,0,5,,Dehaan,Dehaan,Cam,Cam,0,0,0,5,1,1,
8,Dehaan,11,Dubov,0,0,0,8,,Dehaan,Dehaan,Dubov,Dubov,0,0,0,8,1,1,
8,Dehaan,3,Ian,0,0,0,4,,Dehaan,Dehaan,Ian,Ian,0,0,0,4,1,1,
8,Dehaan,14,Dylan,0,0,0,8,,Dehaan,Dehaan,Dylan,Dylan,0,0,0,8,1,1,
4,Rengel,7,Houman,0,0,0,13,,Rengel,Rengel,Houman,Houman,0,0,0,13,1,1,
4,Rengel,8,Dehaan,0,0,0,3,,Rengel,Rengel,Dehaan,Dehaan,0,0,0,3,1,1,
4,Rengel,16,,0,0,0,31,,Rengel,Rengel,,,0,0,0,31,1,1,
4,Rengel,13,Matt,0,0,0,180,,Rengel,Rengel,Matt,Matt,0,0,0,180,1,1,
4,Rengel,3,Ian,0,0,0,92,,Rengel,Rengel,Ian,Ian,0,0,0,92,1,1,
4,Rengel,9,Cam,0,0,0,58,,Rengel,Rengel,Cam,Cam,0,0,0,58,1,1,
4,Rengel,12,Clayton,0,0,0,58,,Rengel,Rengel,Clayton,Clayton,0,0,0,58,1,1,
4,Rengel,14,Dylan,0,0,0,77,,Rengel,Rengel,Dylan,Dylan,0,0,0,77,1,1,
4,Rengel,4,Rengel,0,0,0,110,,Rengel,Rengel,Rengel,Rengel,0,0,0,110,1,1,
4,Rengel,10,Mark,0,0,0,43,,Rengel,Rengel,Mark,Mark,0,0,0,43,1,1,
4,Rengel,6,Chad,0,0,0,66,,Rengel,Rengel,Chad,Chad,0,0,0,66,1,1,
4,Rengel,11,Dubov,0,0,0,108,,Rengel,Rengel,Dubov,Dubov,0,0,0,108,1,1,
4,Rengel,2,Erik,0,0,0,194,,Rengel,Rengel,Erik,Erik,0,0,0,194,1,1,
4,Rengel,15,Brock,0,0,0,65,,Rengel,Rengel,Brock,Brock,0,0,0,65,1,1,
6,Chad,6,Chad,0,0,0,593,,Chad,Chad,Chad,Chad,0,0,0,593,1,1,
6,Chad,10,Mark,0,0,0,101,,Chad,Chad,Mark,Mark,0,0,0,101,1,1,
6,Chad,9,Cam,0,0,0,81,,Chad,Chad,Cam,Cam,0,0,0,81,1,1,
6,Chad,8,Dehaan,0,0,0,3,,Chad,Chad,Dehaan,Dehaan,0,0,0,3,1,1,
6,Chad,16,,0,0,0,18,,Chad,Chad,,,0,0,0,18,1,1,
