originregion_id,originregion_name,destinationregion_id,destinationregion_name,regionflow_1990,regionflow_1995,regionflow_2000,regionflow_2005,xxx,origin_iso,origin_name,destination_iso,destination_name,countryflow_1990,countryflow_1995,countryflow_2000,countryflow_2005,origin_show,destination_show
1,North America,7,East Asia,17696,16407,21304,39145,,CAN,Canada,MNG,Mongolia,0,0,11,17,1,0
1,North America,7,East Asia,17696,16407,21304,39145,,CAN,Canada,PRK,North Korea,35,39,23,42,1,0
1,North America,7,East Asia,17696,16407,21304,39145,,USA,United States,CHN,China,1633,20,5373,11317,1,1
1,North America,7,East Asia,17696,16407,21304,39145,,USA,United States,HKG,Hong Kong,2901,197,0,130,1,1
1,North America,7,East Asia,17696,16407,21304,39145,,USA,United States,JPN,Japan,6575,4,0,6876,1,1
1,North America,7,East Asia,17696,16407,21304,39145,,USA,United States,KOR,South Korea,1674,28,14064,17775,1,1
1,North America,7,East Asia,17696,16407,21304,39145,,USA,United States,MAC,Macao,0,0,0,0,1,0
1,North America,7,East Asia,17696,16407,21304,39145,,USA,United States,MNG,Mongolia,0,0,202,324,1,0
1,North America,7,East Asia,17696,16407,21304,39145,,USA,United States,PRK,North Korea,123,0,397,646,1,0
1,North America,8,South-East Asia,10439,64871,91449,41758,,CAN,Canada,BRN,Brunei,0,0,0,0,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,CAN,Canada,IDN,Indonesia,95,0,120,75,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,CAN,Canada,KHM,Cambodia,17,1763,0,0,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,CAN,Canada,LAO,Laos,0,0,0,0,1,0
1,North America,8,South-East Asia,10439,64871,91449,41758,,CAN,Canada,MMR,Myanmar,0,0,0,0,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,CAN,Canada,MYS,Malaysia,0,39,26,0,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,CAN,Canada,PHL,Philippines,522,569,202,337,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,CAN,Canada,SGP,Singapore,49,6076,139,338,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,CAN,Canada,THA,Thailand,0,9144,2900,0,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,CAN,Canada,TLS,Timor-Leste,42,0,0,0,1,0
1,North America,8,South-East Asia,10439,64871,91449,41758,,CAN,Canada,VNM,Vietnam,33,244,3,5,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,USA,United States,BRN,Brunei,9,0,49,60,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,USA,United States,IDN,Indonesia,0,0,1903,1165,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,USA,United States,KHM,Cambodia,123,9050,31,0,1,1
1,North America,8,South-East Asia,10439,64871,91449,41758,,USA,United States,LAO,Laos,0,0,5,0,1,0
1,North America,8,South-East Asia,10439,64871,91449,41758,,USA,United States,MMR,Myanmar,0,0,0,0,1,1
